#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-16 23:00:00Z;8,784876;1;3
2024-06-17 00:00:00Z;8,788751;1;3
2024-06-17 01:00:00Z;8,791;1;3
2024-06-17 02:00:00Z;8,793878;1;3
2024-06-17 03:00:00Z;8,80301;1;3
2024-06-17 04:00:00Z;8,818638;1;3
2024-06-17 05:00:00Z;8,834144;1;3
2024-06-17 06:00:00Z;8,855522;1;3
2024-06-17 07:00:00Z;8,875269;1;3
2024-06-17 08:00:00Z;8,895769;1;3
2024-06-17 09:00:00Z;8,914765;1;3
2024-06-17 10:00:00Z;8,931636;1;3
2024-06-17 11:00:00Z;8,944254;1;3
2024-06-17 12:00:00Z;8,945375;1;3
2024-06-17 13:00:00Z;8,940502;1;3
2024-06-17 14:00:00Z;8,932004;1;3
2024-06-17 15:00:00Z;8,924376;1;3
2024-06-17 16:00:00Z;8,926253;1;3
2024-06-17 17:00:00Z;8,935754;1;3
2024-06-17 18:00:00Z;8,939;1;3
2024-06-17 19:00:00Z;8,941751;1;3
2024-06-17 20:00:00Z;8,949003;1;3
2024-06-17 21:00:00Z;8,955377;1;3
2024-06-17 22:00:00Z;8,952625;1;3
2024-06-17 23:00:00Z;8,95125;1;3
2024-06-18 00:00:00Z;8,945877;1;3
2024-06-18 01:00:00Z;8,939002;1;3
2024-06-18 02:00:00Z;8,932002;1;3
2024-06-18 03:00:00Z;8,925377;1;3
2024-06-18 04:00:00Z;8,921625;1;3
2024-06-18 05:00:00Z;8,921625;1;3
2024-06-18 06:00:00Z;8,920375;1;3
2024-06-18 07:00:00Z;8,921876;1;3
2024-06-18 08:00:00Z;8,928627;1;3
2024-06-18 09:00:00Z;8,9335;1;3
2024-06-18 10:00:00Z;8,934875;1;3
2024-06-18 11:00:00Z;8,935;1;3
2024-06-18 12:00:00Z;8,935375;1;3
2024-06-18 13:00:00Z;8,938126;1;3
2024-06-18 14:00:00Z;8,941376;1;3
2024-06-18 15:00:00Z;8,942628;1;3
2024-06-18 16:00:00Z;8,952881;1;3
2024-06-18 17:00:00Z;8,96388;1;3
2024-06-18 18:00:00Z;8,973754;1;3
2024-06-18 19:00:00Z;8,981377;1;3
2024-06-18 20:00:00Z;8,9845;1;3
2024-06-18 21:00:00Z;8,982379;1;3
2024-06-18 22:00:00Z;8,970133;1;3
2024-06-18 23:00:00Z;8,956883;1;3
2024-06-19 00:00:00Z;8,943133;1;3
2024-06-19 01:00:00Z;8,930132;1;3
2024-06-19 02:00:00Z;8,918505;1;3
2024-06-19 03:00:00Z;8,910377;1;3
2024-06-19 04:00:00Z;8,9055;1;3
2024-06-19 05:00:00Z;8,905377;1;3
2024-06-19 06:00:00Z;8,913754;1;3
2024-06-19 07:00:00Z;8,919503;1;3
2024-06-19 08:00:00Z;8,910131;1;3
2024-06-19 09:00:00Z;8,89913;1;3
2024-06-19 10:00:00Z;8,889005;1;3
2024-06-19 11:00:00Z;8,878632;1;3
2024-06-19 12:00:00Z;8,866009;1;3
2024-06-19 13:00:00Z;8,852884;1;3
2024-06-19 14:00:00Z;8,839881;1;3
2024-06-19 15:00:00Z;8,832003;1;3
2024-06-19 16:00:00Z;8,826001;1;3
2024-06-19 17:00:00Z;8,825625;1;3
2024-06-19 18:00:00Z;8,824876;1;3
2024-06-19 19:00:00Z;8,830256;1;3
2024-06-19 20:00:00Z;8,843383;1;3
2024-06-19 21:00:00Z;8,854005;1;3
2024-06-19 22:00:00Z;8,862502;1;3
2024-06-19 23:00:00Z;8,861252;1;3
2024-06-20 00:00:00Z;8,855126;1;3
2024-06-20 01:00:00Z;8,85475;1;3
2024-06-20 02:00:00Z;8,853625;1;3
2024-06-20 03:00:00Z;8,849004;1;3
2024-06-20 04:00:00Z;8,839378;1;3
2024-06-20 05:00:00Z;8,837875;1;3
2024-06-20 06:00:00Z;8,843629;1;3
2024-06-20 07:00:00Z;8,853253;1;3
2024-06-20 08:00:00Z;8,858876;1;3
2024-06-20 09:00:00Z;8,861627;1;3
2024-06-20 10:00:00Z;8,854882;1;3
2024-06-20 11:00:00Z;8,840137;1;3
2024-06-20 12:00:00Z;8,825509;1;3
2024-06-20 13:00:00Z;8,815503;1;3
2024-06-20 14:00:00Z;8,81425;1;3
2024-06-20 15:00:00Z;8,809379;1;3
2024-06-20 16:00:00Z;8,800504;1;3
2024-06-20 17:00:00Z;8,794625;1;3
2024-06-20 18:00:00Z;8,794252;1;3
2024-06-20 19:00:00Z;8,80213;1;3
2024-06-20 20:00:00Z;8,811503;1;3
2024-06-20 21:00:00Z;8,817626;1;3
2024-06-20 22:00:00Z;8,820126;1;3
2024-06-20 23:00:00Z;8,815383;1;3
2024-06-21 00:00:00Z;8,800139;1;3
2024-06-21 01:00:00Z;8,784138;1;3
2024-06-21 02:00:00Z;8,769634;1;3
2024-06-21 03:00:00Z;8,759503;1;3
2024-06-21 04:00:00Z;8,753127;1;3
2024-06-21 05:00:00Z;8,747877;1;3
2024-06-21 06:00:00Z;8,741877;1;3
2024-06-21 07:00:00Z;8,734378;1;3
2024-06-21 08:00:00Z;8,720542;1;3
2024-06-21 09:00:00Z;8,70864;1;3
2024-06-21 10:00:00Z;8,695762;1;3
2024-06-21 11:00:00Z;8,687255;1;3
2024-06-21 12:00:00Z;8,680879;1;3
2024-06-21 13:00:00Z;8,675002;1;3
2024-06-21 14:00:00Z;8,676255;1;3
2024-06-21 15:00:00Z;8,685382;1;3
2024-06-21 16:00:00Z;8,691127;1;3
2024-06-21 17:00:00Z;8,691375;1;3
2024-06-21 18:00:00Z;8,6925;1;3
2024-06-21 19:00:00Z;8,69125;1;3
2024-06-21 20:00:00Z;8,691;1;3
2024-06-21 21:00:00Z;8,6905;1;3
